YYMM,서울,용산,영등포,상봉,청량리,부산,구포,동대구,광주송정,대전,서대전,수원,광명,행신,양평,강릉,둔내,진부,평창,횡성,오송,천안아산,논산,계룡,전주,익산,정읍,남원,목포,여수엑스포,여천,순천,나주,곡성,신경주,김천구미,창원,창원중앙,마산,진주,밀양
201411,96.299,96.815,95.56,0,0,93.942,94.963,90.816,89.56,97.867,93.063,98.309,96.837,98.19,0,0,0,0,0,0,94.065,97.944,95.546,98.148,96.262,97.159,96.552,94.614,99.488,93.872,94.532,96.288,93.627,93.942,87.015,92.049,95.738,94.528,95.05,94.389,97.235
201412,96.314,96.811,95.707,0,0,94.227,95.29,91.264,89.77,97.886,93.379,98.439,97.334,98.113,0,0,0,0,0,0,93.715,97.729,95.546,98.148,96.262,97.224,96.668,94.934,99.499,93.786,94.815,96.362,94.954,94.089,88.953,93.475,96.106,94.568,95.398,94.419,97.369
201501,96.283,96.8,95.815,0,0,94.718,95.423,91.718,89.822,97.951,93.637,98.332,97.797,98.071,0,0,0,0,0,0,93.877,97.719,96.006,98.185,96.295,97.243,96.882,94.934,99.503,93.7,94.815,96.399,94.954,93.975,89.489,93.475,96.139,94.568,95.532,94.701,97.422
201502,96.337,96.851,95.969,0,0,94.717,95.517,91.946,90.07,97.951,93.663,98.615,97.856,98.071,0,0,0,0,0,0,94.557,97.801,96.149,98.219,96.295,97.351,96.702,95.505,99.516,93.625,94.815,96.413,95.403,93.976,90.351,93.766,96.25,94.568,95.748,94.905,97.519
201503,96.437,96.937,96.349,0,0,94.829,95.673,92.505,90.773,97.945,94.014,98.668,97.53,98.394,0,0,0,0,0,0,95.055,98.039,96.284,98.345,96.643,97.384,96.154,96.266,99.525,93.561,94.596,96.555,95.421,93.973,90.634,93.766,96.485,94.58,96.061,94.999,97.622
201504,96.53,96.959,96.564,0,0,95.145,95.82,93.077,91.012,98.032,94.103,98.712,97.337,98.394,0,0,0,0,0,0,94.788,97.982,96.559,98.563,96.643,97.416,95.939,97.479,99.543,93.669,94.448,96.817,95.96,94.657,91.425,94.028,96.648,94.58,96.338,95.217,97.661
201505,96.588,97.087,96.947,0,0,95.381,95.911,93.412,91.336,98.169,94.624,98.782,97.821,98.418,0,0,0,0,0,0,95.264,97.945,96.786,98.702,96.686,97.483,95.939,97.296,99.549,93.839,94.777,96.932,96.145,94.674,92.469,94.431,96.722,95.032,96.461,95.2,97.668
201506,96.702,97.107,97.086,0,0,95.548,96.117,93.702,91.346,98.118,95.204,98.849,97.938,98.418,0,0,0,0,0,0,95.581,98.091,96.942,98.732,96.691,97.607,96.296,97.296,99.574,94.09,94.839,96.993,96.153,94.885,93.413,95.92,96.922,95.19,96.672,95.533,97.688
201507,96.784,97.223,97.295,0,0,95.773,96.332,93.878,92.042,98.01,96.078,98.756,98.055,98.418,0,0,0,0,0,0,96.389,98.265,96.834,99.179,96.691,97.647,97.197,98.27,99.627,94.692,95.197,97.13,96.002,95.156,93.716,96.128,96.988,95.41,96.784,95.481,97.785
201508,96.95,97.324,97.483,0,0,95.955,96.674,94.202,92.333,98.05,96.113,98.875,98.055,98.473,0,0,0,0,0,0,96.083,98.39,96.834,98.949,96.713,97.739,97.275,98.27,99.672,95.051,95.197,97.285,96.369,95.899,95.058,96.128,97.021,96.426,96.813,95.653,97.838
201509,97.108,97.415,97.705,0,0,96.085,96.952,94.575,92.473,97.998,96.184,98.838,98.214,98.518,0,0,0,0,0,0,96.34,98.429,96.843,99.041,96.713,97.767,97.282,98.808,99.698,95.403,95.197,97.505,96.565,96.367,95.354,95.561,97.194,96.426,96.971,95.769,97.981
201510,97.244,97.58,97.787,0,0,96.474,97.049,94.852,92.678,97.999,96.653,98.862,98.428,98.676,0,0,0,0,0,0,96.94,98.509,97.292,99.082,97.318,97.896,98.175,98.808,99.683,95.901,95.468,97.613,97.205,96.836,95.665,95.561,97.295,96.979,97.248,96.328,98.075
201511,97.453,97.703,98.131,0,0,96.709,97.333,95.284,93.04,98.121,97.205,98.761,98.428,98.806,0,0,0,0,0,0,96.94,98.586,97.461,98.922,97.459,98.043,97.876,98.808,99.679,96.381,95.874,97.749,96.612,97.261,96.089,96.492,97.442,97.55,97.4,96.696,98.226
201512,97.53,97.828,98.185,0,0,97.078,97.534,95.69,93.365,98.51,97.479,98.812,98.851,98.865,0,0,0,0,0,0,96.94,98.676,97.585,98.928,98.136,98.137,98.346,98.808,99.705,96.713,96.06,98.168,96.883,97.359,96.089,96.662,97.594,97.55,97.543,97.341,98.348
201601,97.725,97.934,98.237,0,0,97.188,97.722,95.997,93.803,98.573,97.657,98.853,99.049,98.925,0,0,0,0,0,0,97.025,98.441,97.614,99.108,98.323,99.217,98.489,99.073,99.72,96.466,96.322,98.332,97.173,97.754,96.089,96.895,97.815,97.832,97.716,97.711,98.472
201602,97.967,97.959,98.32,0,0,97.384,98.027,96.455,94.24,98.677,97.658,98.84,99.049,98.925,0,0,0,0,0,0,97.18,98.608,97.808,99.281,98.323,99.228,98.855,99.073,99.696,96.598,96.881,98.432,97.308,97.893,97.069,97.209,98.011,97.942,97.934,97.949,98.58
201603,98.069,98.082,98.493,0,0,97.605,98.524,96.71,95.012,98.865,97.872,98.903,99.267,98.925,0,0,0,0,0,0,97.18,99.088,98.061,99.314,98.413,99.37,98.855,99.43,99.758,96.644,96.949,98.451,97.655,98.1,97.069,97.437,98.151,98.123,98.277,98.368,98.731
201604,98.181,98.307,98.744,0,0,97.946,98.637,97.149,95.256,99.006,98.196,98.966,99.14,99.107,0,0,0,0,0,0,97.225,99.287,98.65,99.351,98.523,99.476,98.93,99.666,99.793,96.839,97.243,98.629,98.015,98.342,97.919,97.613,98.25,98.34,98.525,98.325,99.11
201605,98.473,98.556,98.887,0,0,98.076,98.706,97.661,95.53,99.296,98.459,98.983,99.28,99.107,0,0,0,0,0,0,97.388,99.142,98.414,99.397,98.756,99.491,99.022,99.666,99.811,97.069,97.243,98.726,99.308,98.99,97.919,98.076,98.376,98.785,98.564,98.566,99.299
201606,98.672,98.747,99.021,0,0,98.394,98.954,97.969,96.545,99.557,98.65,99.146,99.349,99.107,0,0,0,0,0,0,97.568,99.504,98.409,99.293,99.067,99.579,99.131,99.696,99.824,97.24,97.457,98.883,99.308,99.203,98.504,98.281,98.716,99.052,98.743,98.764,99.351
