YYMM,서울,용산,영등포,상봉,청량리,부산,구포,동대구,광주송정,대전,서대전,수원,광명,행신,양평,강릉,둔내,진부,평창,횡성,오송,천안아산,논산,계룡,전주,익산,정읍,남원,목포,여수엑스포,여천,순천,나주,곡성,신경주,김천구미,창원,창원중앙,마산,진주,밀양
201808,108.993,109.751,108.12,106.568,107.37,108.829,107.878,112.788,116.171,103.771,104.944,106.196,102.829,107.468,107.825,109.257,105.828,105.729,109.378,113.098,109.601,108.078,103.261,105.588,105.205,105.547,105.92,104.851,100.892,109.721,108.896,105.145,105.968,105.841,108.25,105.371,105.289,106.429,108.162,109.463,106.714
201809,109.564,110.453,108.9,106.97,108.298,109.236,108.511,113.766,117.581,104.083,105.306,106.593,102.94,107.827,108.126,109.287,106.163,106.322,109.378,113.098,109.601,108.284,103.32,105.78,105.489,105.758,106.16,105.389,100.929,110.052,109.445,105.376,106.431,106.038,108.485,105.371,105.496,107.208,107.975,109.463,106.861
201810,110.222,111.071,109.555,107.424,109.101,109.965,108.934,114.58,118.788,104.15,105.42,106.811,103.648,107.9,108.462,109.523,105.799,105.948,109.938,113.098,110.676,108.367,103.564,106.317,105.701,106.109,106.445,105.674,101.132,110.978,109.581,105.745,107.057,106.456,109.066,105.215,105.826,107.208,108.024,109.814,107.193
201811,110.771,111.596,110.353,107.837,110.258,110.252,109.119,115.638,119.879,104.319,105.652,107.103,103.839,108.67,108.755,109.704,105.799,106.338,109.938,113.852,112.672,108.511,103.894,106.377,106.084,106.358,106.69,106.028,101.247,111.488,109.581,106.052,107.611,106.722,109.471,105.643,106.015,107.208,108.182,109.814,106.903
201812,111.155,112.084,111.147,108.517,110.674,110.578,109.684,116.391,120.661,104.613,105.81,107.408,104.498,109.131,109.082,109.95,105.799,106.587,109.634,113.986,112.672,108.523,104.099,106.565,105.851,106.652,106.965,106.319,101.343,111.662,109.925,106.138,108.149,107.007,110.206,106.394,106.008,107.208,108.556,109.87,107.481
201901,111.335,112.337,111.819,108.938,111.11,110.989,109.815,117.136,120.937,104.661,105.991,108.054,104.76,109.5,109.404,110.218,106.434,106.587,109.634,114.384,112.672,108.62,104.147,106.565,106.239,106.958,107.166,106.866,101.547,112.082,110.207,106.471,108.79,107.491,111.07,106.733,106.078,109.013,108.729,109.87,107.751
201902,111.662,112.88,112.665,109.171,111.364,111.332,110.137,117.734,121.614,104.823,106.046,108.489,104.972,110.072,109.794,110.344,106.517,106.587,109.634,114.566,112.672,108.757,104.305,106.584,106.52,107.173,107.465,106.779,101.835,112.288,110.647,106.77,109.441,107.926,111.981,107.001,106.163,109.053,108.719,110.074,107.964
201903,111.984,113.197,113.226,109.545,111.783,111.714,110.466,118.476,122.504,105.276,106.226,108.642,106.036,110.072,110.318,110.578,106.774,107.247,109.634,114.811,112.78,109.009,104.366,106.728,106.954,107.483,108.296,107.241,102.211,112.646,111.181,106.969,110.148,108.307,112.49,107.164,106.152,108.688,108.611,110.481,108.162
201904,112.359,113.554,113.539,109.827,112.488,112.097,111.131,119.322,123.782,105.509,106.65,109.072,106.568,110.507,110.578,110.835,107.079,107.75,110.248,115.161,113.355,109.047,104.474,106.908,107.162,107.747,108.819,107.417,102.54,113.08,111.89,107.304,110.746,108.435,112.842,107.435,105.634,108.688,108.445,111.134,108.387
201905,112.576,114.049,113.938,110.225,113.144,112.338,111.471,120.268,124.58,105.678,106.939,109.324,106.568,110.928,110.951,110.918,107.217,108.194,110.546,115.892,114.313,109.459,104.638,107.288,107.266,108.001,109.315,107.748,102.896,113.188,112.317,107.55,111.126,108.708,113.157,107.581,105.425,108.893,108.379,111.134,108.636
201906,112.868,114.45,114.909,110.534,113.568,112.467,111.59,121.304,124.988,105.804,107.372,109.652,107.203,111.595,111.227,111.175,107.433,108.568,110.546,115.985,114.313,109.445,104.965,107.384,107.494,108.159,109.448,107.884,103.246,113.625,112.699,107.82,111.425,108.99,113.386,107.571,104.745,108.893,108.364,111.134,108.79
201907,113.425,115.081,114.753,111.014,114.079,112.812,111.917,121.989,125.825,106.123,107.55,110.107,107.59,111.797,111.549,111.32,107.702,108.812,110.546,116.311,112.402,109.736,105.117,107.517,107.873,108.466,109.752,107.884,103.583,114.294,113.066,108.114,111.818,109.116,113.386,107.746,104.366,109.078,108.233,111.341,109.052
