"번호","종별/선별","영문","구 간","영문구간","보   통   역","배치간이역","무배치간이역","조  차  장","신  호  장","신  호  소","여객키로","화물키로","철도키로"
"80","오송정비기지선","Osongjeongbigiji","분기~기지","Bungi∼Giji","-","-","-","-","-","-","-","-","0.3"
"81","영동정비기지선","Yeongdonjeongbiggiji","분기-기지","Bungi-Giji","-","-","-","-","-","-","-","-","0.1"
"82","양산화물선","Yangsanhwamul","물금-양산화물","Mulgeum~Yangsanhwamul","-","-","1","-","-","-","-","3.5","3.5"
"83","문산기지선","Munsangiji","문산~기지","Munsan~Giji","-","-","-","-","-","-","-","-","2.1"
"84","시흥연결선","Siheungyeongeol","시  흥~광  명","Siheung~Gwangmyeong","-","-","-","-","-","-","1.5","-","1.5"
"85","대전남연결선","Daejeonnamyeongeol","옥  천~고 속 선","Okcheon~Gosoksun","-","-","-","-","-","-","4.2","-","4.2"
"86","대구북연결선","Daegubukyeongeol","고속선~신동","Gosoksun~Sindong","-","-","-","-","-","-","3.5","-","3.5"
"87","장항화물선","Janghanghwamul","장항~장항화물","Janghang~Janghanghwamul","-","-","1","-","-","-","-","4.2","4.2"
"88","용문기지선","Yongmun Giji","용문 ~ 용문기지","Yongmun~Yongmun Giji","-","-","-","-","-","-","-","-","2.7"
"89","수색직결선","Gyeongui","수색 ~ 검암","Susaek~Geomam","-","-","-","-","-","-","2.2","-","2.2"
"90","신항북선","Sinhangbuk","부산신항 ~ 북철송장","Busansinhang ~ Bukcheolsongjang","-","-","1","-","-","-","-","5.8","5.8"
"91","신항남선","Sinhangnam","부산신항 ~ 남철송장","Busansinhang ~ Namcheolsongjang","-","-","1","-","-","-","-","7.7","7.7"
"92","동해선","Donghae","모량~포항","Moryang~Pohang","-","-","-","-","-","-","35.1","-","35.1"
"93","건천연결선","Guncheonyeongyeol","분기~모량","Bungi~Moryang","-","-","-","-","-","-","3.3","-","3.3"
"94","평택선","Pyeongtaek","창내~경부하본선분기","Changnae~Bungi","-","-","-","-","1","-","-","8.8","8.8"
"95","평택삼각선","Pyeongtaek Samgak","신대~경부상본선분기","Sindae~Bungi","-","-","-","-","-","1","-","2.2","2.2"
"96","평택직결선","Pyeongtaek Jikgyeol","신대~평택","Sindae~Pyeongtaek","-","-","-","-","-","-","-","2.1","2.1"
"97","경강선","Kyung Gang","성남 ~ 여주","Seongnam~Yeoju","3","","7","-","-","-","57","","57"
