역명,주소
성산,전남 순천시 해룡면 남가리68-2
성주사,경남 창원시 성상구 성주로 1
세천,대전 동구 세천동
소이,충북 음성군 소이면 대장리 88
송추,경기도 양주군 장흥면 부곡리
수색,서울시 은평구 수색동 380
수원,경기도 수원시 팔달구 덕영대로 924
순천,전남 순천시 팔마로 135
승부,경북 봉화군 석포면 승부길 1162-5
신거,경북 청도군 청도읍 새마을1길 32
신경주,경북 경주시 건천읍 신경주역로 80
신기,강원 삼척시 신기면 신기역길 89
신녕,경북 영천시 신녕면 장수로 1587
신리,전북 완주군 상관면 신리 578
신림,강원 원주시 신림면 용암리 590
신망리,경기 연천군 연천읍 연신로483번길 1
신성,충남 홍성군 홍성읍 학계리590-4
신암,경북 김천시 봉산면 신암1길 50-69
신탄리,경기도 연천군 신서면 고대산길 4 
신탄진,대전광역시 대덕구 신탄진로 807 
신태인,전북 정읍시 신태인읍 신태인리 132-2
심천,충북 영동군 심천면 심천리 30
아산,충남 아산시 배방면 장재리419-1
아우라지,강원도 정선군 북면 여량3리 
아포,경북 김천시 아포읍 국사길 140-19
아화,경북 경주시  서면 아화1길 57
안강,경북 경주시 안강읍 비화원로 15-1(안강1리 433-1번지)
안동,경북 안동시 경동로 684(우)36706
안평,전라남도 장성군 장성읍 안평리
압록,전남 곡성군 오곡면 압록리 1
양동,경기도 양평군 양동면 양동역길 19
양자동,경북 경주시 강동면 인동리 727-2
어등,경북 예천군 보문면 옥계천로 610-10
여수엑스포,전남 여수시 망양로 2
여천,전남 여수시 시청로 200 
연무대,충남 논산시 연무읍 안심리 179
연산,충남 논산시 연산면 청동리 127
연천,경기도 연천군 연천읍 연천로 273-7 
연화,경북 칠곡군 지천면 칠곡대로 2054-5
영동,충북 영동군 영동읍 계산리 205
영등포,서울특별시 영등포구 경인로 846
영월,강원도 영월군 영월읍 덕포4리 506-2
영주,경북 영주시 선비로 64(휴천동)
영천,경북 영천시 금완로 98 (완산동)
예당,전남 보성군 예당역전길 19
예산,충남 예산군 예산읍 주교리 221-1
예천,경북 예천군 예천읍 역전길 4
오근장,충북 청주시 상당구 외남동 241-1
오산리,전북 익산시 오산면 오산리  
오송,충청북도 청원군 강외면 봉산리 370-1
오수,전북 임실군 오수면 대명리565-1
옥산,경북 상주시 공성면 산현1길 28
옥천,충북 옥천군 옥천읍 금구리 112-1
온양온천,충남 아산시 온천동 69-10
옹정,전북 남원시 금지면 입암리 196-2
와룡,전북 김제시 용지면 와룡리 264
완사,경남 사천시 곤명면 경서대로 3435
왜관,경북 칠곡군 왜관읍 중앙로 8길 10
용궁,경북 예천군 용궁면 용궁로 80
용동,전북 익산시 용동면 대조리 804
용산,서울 용산구 한강로3가 40-1
우보,경북 군위군 우보면 동부로 1557-10
울산,울산 울주군 삼남면 울산역로 177
웅천,충남 보령시 웅천읍 대창리 465-10
원동,경남 양산시 원동면 원동마을길 13
원릉,경기도 고양시 덕양구 성사동 
원주,강원도 원주시 평원로 158 원주역
원죽,충남 보령시 청소면 죽림리240-2
원창,전남 순천시 별량면 동송리556-1
월내,부산 기장군 장안읍 월내길 7
율촌,전남 순천시 율촌면 조화리58-2
의성,경북 의성군 의성읍 문소3길 89-8
이양,전남 화순군 이양면 오류리 662-1
이원,충북 옥천군 이원면 강청리 23
이하,경북 안동시 와룡면 서주길 237-1
익산,전라북도 익산시 익산대로 153 
일로,전남 무안군 상향면 맥포리 226-6
일신,경기 양평군 지평면 일신리 1815-27
일영,경기도 양주군 장흥면 삼상리 327
임기,경북 봉화군 소천면 숲터길 58
임성리,전남 목포시 옥암동 759 
임실,전북 임실군 임실읍 두곡리 27
임진강,경기도 파주시 문산읍 마정리 1253-3
임포,경북 영천시 북안면 임포역길 31
임피,전북 군산시 임피면 슬산리 230
입실,경북 경주시 외동읍 입실로3길 23
자미원,강원도 정선군 남면 문곡3리 126
장성,전남 장성군 장성읍 영천리 1273-5
장항,충남 서천군 장항읍 마서면 덕암리386
장흥,경기도 양주군 장흥면 일영리 92
전곡,경기도 연천군 전곡읍 전곡역로 75 
전의,세종특별자치시 조치원읍 으뜸길 215
전주,전라북도 전주시 덕진구 동부대로 680 
점촌,경북 문경시 신흥로 170
정동진,강원도 강릉시 강동면 정동역길17
정선,강원도 정선군 정선읍 애산2리 428
정읍,전라북도 정읍시 서부산업도로 305번지
제진,강원도 고성군 현내면 동해대로9109
제천,충북 제천시 영천동 1381
조성,전남 보성군 조성4길 12
조치원,충남 연기군 조치원읍 원리 141
좌천,부산 기장군 장안읍 좌천리 좌천로 40-13
주덕,충북 충주시 주덕읍 신양리 140
주생,전북 남원시 주생면 제천리 9
주포,충남 보령시 주포면 봉당리 514
죽동,경북 경주시 외동읍 죽동앞길 11-12
죽림온천,전북 완주군 상관면 죽림리 439-8
중리,경남 창원시 마산회원구 내서읍 함마대로 2803-3
증평,충북 괴산군 증평읍 증평리 1110
지천,경북 칠곡군 지천면 용산로 168
지탄,충북 옥천군 이원면 지탄리 28
지평,경기 양평군 지평면 지평역길 32
직지사,경북 김천시 대항면 역전길 308-65
진례,경남 김해시 진례면 고모로 651
진상,전남 광양시 진상면 섬거리306
진영,경남 김해시 진영읍 김해대로 809
진주,경남 진주시 개양로 116번길 33
진해,경남 창원시 진해구 여좌동 761
창원,경남 창원시 의창구 의창대로 67
창원중앙,경남 창원시 의창구 상남로 381
천안,충남 천안시 동남구 대흥동 57-1
천안아산,충남 아산시 배방면 장재리 305
천원,전북 정읍시 입안면 접지리 538
청도,경북 청도군 청도읍 청화로 214
청량리,서울 동대문구 왕산로 214
청령,경북 경주시 안강읍 청령리 산79-3
청리,경북 상주시 청리면 청리중앙로 135-4
청소,충남 보령시 청소면 진죽리341-3
청주공항,충북 청원군 내수읍 입상리
초강,전북 정읍시 정우면 장순리 683-1
초성리,경기도 연천군 청산면 청신로 72 
추암,강원 동해시 추암길 199
추전,강원 태백시 화전동 산123
추풍령,충북 영동군 추풍령면 추풍령리 336-1
춘양,경북 봉화군 춘양면 운곡길 22-2
충주,충북 충주시 봉방동 409
치악,강원 원주시 판부면 금대3리 260
탑리,경북 의성군 금성면 탑리5길 31
태백,강원 태백시 서황지로 79
태화강,울산 남구 산업로 654
통해,경남 창원시 진해구 현동
판교,충남 서천군 판교면 저산리308-8
평택,경기도 평택시 평택로 51
포항,경북 포항시 흥해읍 포항역로1(이인리137-1)
풍기,경북 영주시 풍기읍 인삼로 1
하고사리,강원도 삼척시 도계읍 소달길 12-52
하동,경남 하동군 하동읍 경서대로 236
하양,경북 경산시 하양읍 하양역길 1
한림정,경남 김해시 한림면 한림로 372번길 20(장방리)
한탄강,경기도 연천군 전곡읍 한여울로 54
함백,강원도 정선군 신동읍 방제리 
함안,경남 함안군 함안면 진함로 1637
함열,전북 익산시 함열읍 와리 545-18
함창,경뷱 상주시 함창읍 가야로 2
함평,전남 함평군 학교면 사거리 492 
현동,경북 봉화군 소천면 열람이길 55
호계,울산 북구 호계6길 30
홍성,충남 홍성군 홍성읍 고암리 415-16
화명,부산 북구 학사로 135(화명동)
화본,경북 군위군 산성면 산성가음로 711-9
화산,경북 영천시 화산면 장수로 917-10
화순,전남 화순군 화순읍 벽라리 507
화양,충남 홍성군 금마면 화양리 181
황간,충북 영동군 황간면 마산리 42
횡천,경남 하동군 횡천면 중마길 277
효문,울산 북구 산업로 892
효자,경북 포항시 남구 새천년대로 289
효천,광주 남구 송하동 573-8
희방사,경북 영주시 풍기읍 죽령로1513번길 41-9
